unit_id	year	sem	code	title	level	dept_own	dept_teach	location	mode	survey_method	enrolled	class_size_log10	size_bin	sem_ord	isclayton	ispostgrad	responses	setu_overall	ChiefExaminer
5213	2017	Semester 1	MKF3471	Sales management and negotiation	3	Department of Marketing	Department of Marketing	Caulfield	On Campus	Web	116	2.064	3	Semester 1	0	0	53	4.43	475
5302	2017	Semester 2	BFC3999	Finance and society	3	Banking & Finance	Banking & Finance	Clayton	On Campus	Web	9	0.954	1	Semester 2	1	0	2	4.5	550
5446	2017	Semester 2	ETF2100	Introductory econometrics	2	Econometrics & Business Statistics	Econometrics & Business Statistics	Caulfield	On Campus	Web	217	2.336	4	Semester 2	0	0	64	4.41	22
5556	2017	Semester 2	MKX3631	Marketing internship	3	Department of Marketing	Department of Marketing	Caulfield	On Campus	Web	31	1.491	2	Semester 2	0	0	6	4.5	249
4933	2017	Semester 1	ACF5955	Management accounting	5	Accounting	Accounting	Caulfield	On Campus	Web	307	2.865	5	Semester 1	0	1	174	4.56	39
5129	2017	Semester 1	ETF5930	Financial econometrics	5	Econometrics & Business Statistics	Econometrics & Business Statistics	Caulfield	On Campus	Web	55	1.74	2	Semester 1	0	1	24	4.7	230
5163	2017	Semester 1	MGF5670	Leadership	5	Department of Management	Department of Management	Caulfield	On Campus	Web	33	1.519	2	Semester 1	0	1	17	4.73	228
5219	2017	Semester 1	MKF5741	Marketing performance and decision analysis	5	Department of Marketing	Department of Marketing	Caulfield	On Campus	Web	23	1.362	1	Semester 1	0	1	12	4.75	440
5456	2017	Semester 2	ETF5900	Business statistics	5	Econometrics & Business Statistics	Econometrics & Business Statistics	Caulfield	On Campus	Web	436	3.102	5	Semester 2	0	1	307	4.55	95
5461	2017	Semester 2	ETF5970	Mathematics for business	5	Econometrics & Business Statistics	Econometrics & Business Statistics	Caulfield	On Campus	Web	57	2.435	2	Semester 2	0	1	26	4.63	395
5025	2017	Semester 1	BTB3221	Taxation law and practice	3	Business Law & Taxation	Business Law & Taxation	Berwick	On Campus	Web	45	1.653	2	Semester 1	0	0	10	4.5	511
5427	2017	Semester 2	ETC3420	Applied insurance methods	3	Econometrics & Business Statistics	Econometrics & Business Statistics	Clayton	On Campus	Web	60	1.968	3	Semester 2	1	0	21	4.42	128
5440	2017	Semester 2	ETC5342	Applied insurance methods	5	Econometrics & Business Statistics	Econometrics & Business Statistics	Clayton	On Campus	Web	33	1.968	2	Semester 2	1	1	12	4.64	128
5462	2017	Semester 2	MGB3684	Business strategy	3	Department of Management	Department of Management	Berwick	On Campus	Web	139	2.143	4	Semester 2	0	0	41	4.46	26
4975	2017	Semester 1	BFC2751	Derivatives 1	2	Banking & Finance	Banking & Finance	Clayton	On Campus	Web	120	2.079	4	Semester 1	1	0	44	4.39	232
4982	2017	Semester 1	BFF2140	Corporate finance 1	2	Banking & Finance	Banking & Finance	Caulfield	On Campus	Web	688	2.838	5	Semester 1	0	0	255	4.36	349
5043	2017	Semester 1	BTX2000	Corporations law	2	Business Law & Taxation	Business Law & Taxation	Clayton	On Campus	Web	175	2.243	4	Semester 1	1	0	68	4.37	41
5151	2017	Semester 1	MGF5011	Commercialisation	5	Department of Management	Department of Management	Clayton	On Campus	Web	8	0.903	1	Semester 1	1	1	3	4.75	470
5167	2017	Semester 1	MGF5722	Emerging economies in a globalising world	5	Department of Management	Department of Management	Caulfield	On Campus	Web	56	1.748	2	Semester 1	0	1	28	4.72	243
5168	2017	Semester 1	MGF5730	International trade policy	5	Department of Management	Department of Management	Caulfield	On Campus	Web	66	1.82	3	Semester 1	0	1	41	4.71	243
5418	2017	Semester 2	ETB1100	Business statistics	1	Econometrics & Business Statistics	Econometrics & Business Statistics	Peninsula	On Campus	Web	124	2.093	4	Semester 2	0	0	39	4.47	275
5449	2017	Semester 2	ETF2700	Mathematics for business	2	Econometrics & Business Statistics	Econometrics & Business Statistics	Caulfield	On Campus	Web	215	2.435	4	Semester 2	0	0	66	4.43	395
5517	2017	Semester 2	MGX3991	Leadership principles and practices	3	Department of Management	Department of Management	Caulfield	On Campus	Web	151	2.179	4	Semester 2	0	0	40	4.46	541
5559	2017	Semester 2	MKX5955	Marketing and the international consumer	5	Department of Marketing	Department of Marketing	Caulfield	On Campus	Web	311	2.493	5	Semester 2	0	1	168	4.65	573
4971	2017	Semester 1	BFC1001	Foundations of finance	1	Banking & Finance	Banking & Finance	Clayton	On Campus	Web	577	2.761	5	Semester 1	1	0	374	4.32	256
5237	2017	Semester 2	ACC2100	Financial accounting	2	Accounting	Accounting	Clayton	On Campus	Web	292	2.465	5	Semester 2	1	0	113	4.37	147
5391	2017	Semester 2	ECC4690	International trade	4	Department of Economics	Department of Economics	Clayton	On Campus	Web	13	1.114	1	Semester 2	1	1	3	4.75	108
5402	2017	Semester 2	ECC5810	Public economics	5	Department of Economics	Department of Economics	Clayton	On Campus	Web	3	1.114	1	Semester 2	1	1	3	4.75	604
4939	2017	Semester 1	ACX4000	Research methods	4	Accounting	Accounting	Caulfield	On Campus	Web	8	0.903	1	Semester 1	0	1	4	4.83	607
4976	2017	Semester 1	BFC3140	Corporate finance 2	3	Banking & Finance	Banking & Finance	Clayton	On Campus	Web	222	2.346	4	Semester 1	1	0	66	4.38	231
5003	2017	Semester 1	BFF5300	Case studies in finance	5	Banking & Finance	Banking & Finance	Caulfield	On Campus	Web	77	1.886	3	Semester 1	0	1	23	4.73	291
5233	2017	Semester 2	ACB3041	Auditing and assurance	3	Accounting	Accounting	Berwick	On Campus	Web	28	1.447	1	Semester 2	0	0	11	4.58	564
5297	2017	Semester 2	BFC3140	Corporate finance 2	3	Banking & Finance	Banking & Finance	Clayton	On Campus	Web	315	2.498	5	Semester 2	1	0	88	4.39	231
5059	2017	Semester 1	ECC2800	Prosperity, poverty and sustainability in a globalised world	2	Department of Economics	Department of Economics	Clayton	On Campus	Web	140	2.179	4	Semester 1	1	0	68	4.42	556
5150	2017	Semester 1	MGF3684	Business strategy	3	Department of Management	Department of Management	Caulfield	On Campus	Web	175	2.243	4	Semester 1	0	0	47	4.47	537
5332	2017	Semester 2	BFF5380	Credit risk modelling	5	Banking & Finance	Banking & Finance	Caulfield	On Campus	Web	60	1.778	3	Semester 2	0	1	26	4.78	261
4898	2017	Semester 1	ACB1100	Introduction to financial accounting	1	Accounting	Accounting	Peninsula	On Campus	Web	56	1.748	2	Semester 1	0	0	21	4.55	365
4901	2017	Semester 1	ACB2491	Company reporting	2	Accounting	Accounting	Berwick	On Campus	Web	66	1.82	3	Semester 1	0	0	23	4.54	355
5050	2017	Semester 1	ECB1101	Introductory microeconomics	1	Department of Economics	Department of Economics	Peninsula	On Campus	Web	104	2.017	3	Semester 1	0	0	41	4.52	353
5072	2017	Semester 1	ECC5953	Economics	5	Department of Economics	Department of Economics	Clayton	On Campus	Web	200	2.301	4	Semester 1	1	1	126	4.65	223
5181	2017	Semester 1	MGF5992	Professional development - Self and relationships	5	Department of Management	Department of Management	Caulfield	On Campus	Web	135	2.13	4	Semester 1	0	1	74	4.73	228
5488	2017	Semester 2	MGF5261	Talent management and professions of the future	5	Department of Management	Department of Management	Caulfield	On Campus	Web	22	1.342	1	Semester 2	0	1	8	4.83	468
4970	2017	Semester 1	BEX6650	Research topics in advanced microeconomics	6	Department of Economics	Department of Economics	Clayton	On Campus	Web	6	0.778	1	Semester 1	1	1	4	4.83	66
5222	2017	Semester 1	MKP2702	Stakeholder marketing communication	2	Department of Marketing	Department of Marketing	Peninsula	On Campus	Web	21	1.322	1	Semester 1	0	0	9	4.6	184
5483	2017	Semester 2	MGF3684	Business strategy	3	Department of Management	Department of Management	Caulfield	On Campus	Web	145	2.161	4	Semester 2	0	0	62	4.53	26
5186	2017	Semester 1	MGX3441	Human resource strategy	3	Department of Management	Department of Management	Caulfield	On Campus	Web	74	1.869	3	Semester 1	0	0	33	4.56	89
5193	2017	Semester 1	MKB2420	Marketing research methods	2	Department of Marketing	Department of Marketing	Berwick	On Campus	Web	52	1.716	2	Semester 1	0	0	33	4.58	573
5040	2017	Semester 1	BTF5919	International trade law	5	Business Law & Taxation	Business Law & Taxation	Caulfield	On Campus	Web	88	2.281	3	Semester 1	0	1	77	4.75	242
5375	2017	Semester 2	ECB2731	Managerial economics	2	Department of Economics	Department of Economics	Berwick	On Campus	Web	144	2.158	4	Semester 2	0	0	38	4.55	625
5394	2017	Semester 2	ECC4810	Public economics	4	Department of Economics	Department of Economics	Clayton	On Campus	Web	10	1.114	1	Semester 2	1	1	4	4.83	604
5441	2017	Semester 2	ETC5345	Time series analysis for business and economics	5	Econometrics & Business Statistics	Econometrics & Business Statistics	Clayton	On Campus	Web	9	1.708	1	Semester 2	1	1	3	4.75	289
4992	2017	Semester 1	BFF3651	Treasury management	3	Banking & Finance	Banking & Finance	Caulfield	On Campus	Web	41	1.613	2	Semester 1	0	0	16	4.61	647
5188	2017	Semester 1	MGX4000	Introductory management research methods	4	Department of Management	Department of Management	Caulfield	On Campus	Web	6	0.954	1	Semester 1	0	1	6	4.9	527
5214	2017	Semester 1	MKF3881	Digital marketing	3	Department of Marketing	Department of Marketing	Caulfield	On Campus	Web	261	2.417	5	Semester 1	0	0	78	4.51	475
5330	2017	Semester 2	BFF5300	Case studies in finance	5	Banking & Finance	Banking & Finance	Caulfield	On Campus	Web	29	1.462	1	Semester 2	0	1	9	4.86	291
5346	2017	Semester 2	BFX5018	Research dissertation	5	Banking & Finance	Banking & Finance	Caulfield	On Campus	Web	2	0.301	1	Semester 2	0	1	1	5	232
5507	2017	Semester 2	MGF5992	Professional development - Self and relationships	5	Department of Management	Department of Management	Caulfield	On Campus	Web	186	2.27	4	Semester 2	0	1	82	4.77	228
5572	2017	Summer 2017/2018	BFX3871	International study program in banking and finance	3	Banking & Finance	Banking & Finance	Caulfield	On Campus	Web	17	1.415	1	Summer	0	0	10	4.67	651
5047	2017	Semester 1	BTX3900	Research project in business law or taxation	3	Business Law & Taxation	Business Law & Taxation	Caulfield	On Campus	Web	30	1.477	2	Semester 1	0	0	12	4.64	374
5123	2017	Semester 1	ETF5550	Research project	5	Econometrics & Business Statistics	Econometrics & Business Statistics	Caulfield	On Campus	Web	15	1.176	1	Semester 1	0	1	5	4.88	445
